lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months,fpm_2100_rcp_chg,fpm_2050_rcp_chg,fpm_2050_45_base_chg,fpm_2050_85_base_chg,fpm_2100_45_base_chg,fpm_2100_85_base_chg
-180,-50.41884994506836,NA,NA,2.9987271626790366,0.02660063902537028,3.0776156187057495,0.03313253323237101,3.082563042640686,0.030188262462615967,3.0453858176867166,0.03806499640146891,3.1004905303319297,0.020216524600982666,12,-0.017848471800486244,-0.0029442707697550433,0.006531894207000729,0.0035876234372456857,0.01146435737609863,-0.006384114424387615
-180,-49.4764404296875,NA,NA,2.9261455138524375,0.030050992965698242,2.992066979408264,0.038043459256490074,2.9890659054120383,0.03492981195449829,2.945198714733124,0.04301359256108602,2.9556444684664407,0.02318642536799113,12,-0.01982716719309489,-0.003113647301991783,0.007992466290791832,0.004878818988800049,0.012962599595387779,-0.0068645675977071115
-180,-48.53403091430664,NA,NA,2.805988351504008,0.03355614344278971,2.886457880338033,0.04242620865503947,2.8726662596066794,0.04089949528376261,2.846098244190216,0.04817456007003784,2.814234952131907,0.025949676831563313,12,-0.02222488323847453,-0.0015267133712768555,0.008870065212249756,0.0073433518409729,0.01461841662724813,-0.007606466611226399
-180,-47.59162139892578,NA,NA,2.6864976286888123,0.03705664475758871,2.8167764147122702,0.045596420764923096,2.7599201003710427,0.04738098382949829,2.785024185975393,0.05337742964426676,2.693473756313324,0.02877696355183919,12,-0.02460046609242757,0.0017845630645751953,0.008539776007334389,0.010324339071909584,0.016320784886678055,-0.008279681205749515
-180,-46.64921569824219,NA,NA,2.55656764904658,0.041034996509552,2.689710517724355,0.049242099126180015,2.6325450340906777,0.053796231746673584,2.666212538878123,0.058102170626322426,2.5712576309839883,0.03151585658391317,12,-0.026586314042409256,0.004554132620493569,0.008207102616628013,0.012761235237121582,0.017067174116770424,-0.009519139925638832
-180,-45.70680618286133,NA,NA,2.4351582328478494,0.04551414648691813,2.5458768407503762,0.053696791330973305,2.5109364986419678,0.06052945057551066,2.5320873856544495,0.06298639376958211,2.454318364461263,0.034406304359436035,12,-0.028580089410146073,0.0068326592445373535,0.008182644844055176,0.01501530408859253,0.01747224728266398,-0.011107842127482094
-180,-44.76439666748047,NA,NA,2.314348965883255,0.04964912931124369,2.3907352288564048,0.05685865879058838,2.3822150230407715,0.06537421544392903,2.373649835586548,0.0656599501768748,2.3263283471266427,0.03682827949523926,12,-0.028831670681635543,0.008515556653340653,0.007209529479344688,0.01572508613268534,0.01601082086563111,-0.012820849816004433
-180,-43.821990966796875,NA,NA,2.185926447312037,0.05370051662127177,2.239997923374176,0.059292217095692955,2.238217771053314,0.07102986176808675,2.2126173675060272,0.0689332087834676,2.184608817100525,0.038827319939931236,12,-0.03010588884353637,0.011737644672393792,0.005591700474421188,0.01732934514681498,0.01523269216219584,-0.01487319668134053
-180,-42.879581451416016,NA,NA,2.068287948767344,0.056529869635899864,2.0911979973316193,0.06110227108001709,2.1040524442990622,0.07690919438997905,2.05052857597669,0.07150216897328694,2.0518892010053,0.04055036107699076,12,-0.03095180789629618,0.01580692330996196,0.004572401444117226,0.020379324754079185,0.014972299337387078,-0.015979508558909103
-180,-41.937171936035156,NA,NA,1.9491737087567647,0.058577527602513633,1.9477677444616954,0.06315562129020691,1.9702823062737782,0.08458415667215984,1.8917350967725117,0.0747290551662445,1.911690612634023,0.04211454590161642,12,-0.03261450926462809,0.021428535381952926,0.004578093687693276,0.026006629069646202,0.016151527563730873,-0.016462981700897217
-180,-40.99476623535156,NA,NA,1.8604713479677837,0.05788031220436096,1.837213824192683,0.0641301969687144,1.868686815102895,0.09059550364812215,1.779434045155843,0.0762430230776469,1.8011550605297089,0.04324326912562052,12,-0.032999753952026374,0.026465306679407746,0.006249884764353439,0.032715191443761185,0.018362710873285934,-0.01463704307874044
-180,-40.0523567199707,NA,NA,1.7575447758038838,0.056813210248947144,1.7380899488925934,0.06312168637911479,1.7482508917649586,0.09282815456390381,1.6746387680371602,0.07488980889320374,1.6787348985671997,0.04357520739237467,12,-0.03131460150082906,0.029706468184789017,0.006308476130167648,0.036014944314956665,0.018076598644256592,-0.013238002856572471
-180,-39.109947204589844,NA,NA,1.6231261193752289,0.055406818787256874,1.6279215315977733,0.05966042478879293,1.597893049319585,0.09307069579760234,1.5635933180650075,0.07360405723253886,1.5397400259971619,0.0440578560034434,12,-0.029546201229095466,0.03341027100880941,0.004253606001536056,0.037663877010345466,0.01819723844528199,-0.011348962783813477
-180,-38.167537689208984,NA,NA,1.6543493469556172,0.05218153198560079,1.6666688819726307,0.05651273330052694,1.6288534700870514,0.0875922938187917,1.5944433808326721,0.0698759655157725,1.5733055969079335,0.04463270306587219,12,-0.025243262449900314,0.031079560518264764,0.0043312013149261475,0.03541076183319091,0.017694433530171715,-0.007548828919728599
-180,-37.22513198852539,NA,NA,1.7750273843606312,0.0499856173992157,1.7721844216187794,0.05517437060674032,1.7496765851974487,0.07962732513745625,1.68781973918279,0.06839948892593384,1.6776391963164012,0.045870731274286904,12,-0.022528757651646934,0.024452954530715935,0.00518875320752462,0.029641707738240555,0.01841387152671814,-0.004114886124928795
-180,-36.28272247314453,NA,NA,1.7599100073178608,0.04909174640973409,1.7495360275109608,0.053666263818740845,1.7399350305398305,0.07544302940368652,1.6693556209405263,0.06763899326324463,1.654732495546341,0.04665889342625936,12,-0.020980099836985268,0.02177676558494568,0.004574517409006752,0.02635128299395243,0.018547246853510536,-0.0024328529834747314
-180,-35.34031295776367,NA,NA,1.7723963856697083,0.04905117551485697,1.7602172394593556,0.05276903510093689,1.749230573574702,0.07159709930419922,1.669190655152003,0.06706197063128154,1.6653897762298584,0.04771782954533895,12,-0.01934414108594259,0.01882806420326233,0.0037178595860799177,0.022545923789342247,0.018010795116424567,-0.001333345969518021
-180,-34.39790725708008,NA,NA,1.7750174502531688,0.049111644426981606,1.7558094660441081,0.05196349819501241,1.7392516036828358,0.06698501110076904,1.666646550099055,0.06622970104217529,1.655858467022578,0.04683197538057963,12,-0.019397725661595665,0.01502151290575663,0.002851853768030807,0.017873366673787437,0.017118056615193687,-0.0022796690464019775
-180,-33.45549774169922,NA,NA,1.7535497744878132,0.049187938372294106,1.725524773200353,0.05094105998675028,1.7119132777055104,0.06254396835962932,1.653899739185969,0.06512169043223064,1.6310299535592396,0.04529466231664022,12,-0.019827028115590416,0.011602908372879035,0.0017531216144561768,0.013356029987335212,0.01593375205993653,-0.0038932760556538853
-180,-32.51308822631836,NA,NA,1.729852517445882,0.04941508173942566,1.6861380438009899,0.0483206311861674,1.6850445469220479,0.059173405170440674,1.6381749014059703,0.06245307127634684,1.6013041536013286,0.043315658966700234,12,-0.019137412309646606,0.010852773984273277,-0.0010944505532582624,0.009758323431015015,0.013037989536921181,-0.0060994227727254255
-180,-31.570680618286133,NA,NA,1.6991661290327709,0.04840045173962911,1.6445511082808177,0.0456626812616984,1.6524289548397064,0.0559105376402537,1.6165336767832439,0.0600372850894928,1.5753851234912872,0.042061954736709595,12,-0.017975330352783203,0.010247856378555298,-0.0027377704779307094,0.0075100859006245885,0.011636833349863686,-0.006338497002919517
-180,-30.628273010253906,NA,NA,1.6679629584153493,0.04739274581273397,1.6135062177975972,0.04320527116457621,1.6259983976682026,0.052607993284861244,1.5979322989781697,0.058278679847717285,1.545408805211385,0.0412905216217041,12,-0.016988158226013184,0.009402722120285034,-0.00418747464815776,0.005215247472127274,0.010885934034983315,-0.006102224191029869
